Agent,Start Node,End Node,Color Preference,Path,Length,Time Taken,Preferred_Color_Count,Distinct_Nodes_Visited,Path_Complexity,Visited_Shapes,Visited_Shininess,Cluster,Feature,Importance
2,3,0,red,"[3, 12, 14, 4, 10, 8, 6, 0]",8,0.0005421638488769531,7,8,7,triangle|triangle|triangle|triangle|circle|circle|triangle,"['not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny']",0,,
3,10,13,yellow,"[10, 0, 3, 9, 1, 5, 7, 12, 14, 8, 10, 4, 13]",13,0.0,6,12,12,triangle|circle|triangle|circle|triangle|circle|triangle|triangle|circle|triangle|triangle|circle,"['shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny']",0,,
4,6,14,red,"[6, 8, 0, 14]",4,0.0005154609680175781,4,4,3,circle|triangle|triangle,"['shiny', 'shiny', 'not_shiny']",0,,
0,0,8,red,"[0, 8]",2,0.0,2,2,1,circle,['shiny'],0,,
1,6,1,yellow,"[6, 3, 11, 5, 9, 1]",6,0.0,5,6,5,circle|circle|triangle|triangle|circle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
2,10,6,yellow,"[10, 4, 13, 5, 7, 12, 3, 11, 2, 0, 10, 8, 6]",13,0.0005156993865966797,5,12,12,triangle|circle|triangle|circle|triangle|circle|circle|circle|triangle|triangle|circle|circle,"['shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny']",0,,
1,6,14,red,"[6, 8, 14]",3,0.0,3,3,2,circle|triangle,"['shiny', 'not_shiny']",0,,
2,6,3,red,"[6, 0, 2, 12, 14, 4, 10, 8, 6, 3]",10,0.0,9,9,9,triangle|circle|triangle|triangle|triangle|triangle|circle|circle|circle,"['shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny']",0,,
4,11,13,yellow,"[11, 5, 9, 1, 3, 11, 0, 8, 10, 4, 13]",11,0.0005130767822265625,7,10,10,triangle|triangle|circle|circle|circle|triangle|circle|triangle|triangle|circle,"['not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny']",0,,
0,3,4,yellow,"[3, 9, 5, 1, 3, 11, 0, 10, 4]",9,0.0,6,8,8,triangle|triangle|circle|circle|circle|triangle|triangle|triangle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
1,11,3,red,"[11, 2, 12, 14, 8, 6, 0, 10, 4, 9, 3]",11,0.0005095005035400391,8,11,10,circle|triangle|triangle|circle|circle|triangle|triangle|triangle|triangle|circle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny']",0,,
2,14,12,red,"[14, 12]",2,0.0,2,2,1,triangle,['not_shiny'],0,,
1,4,12,yellow,"[4, 9, 1, 5, 7, 12]",6,0.0,4,6,5,triangle|circle|triangle|circle|triangle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
2,5,3,red,"[5, 12, 2, 0, 8, 6, 3]",7,0.0005152225494384766,5,7,6,triangle|circle|triangle|circle|circle|circle,"['not_shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'shiny']",0,,
1,10,5,red,"[10, 8, 10, 0, 6, 3, 4, 14, 12, 2, 11, 5]",12,0.0,9,11,11,circle|triangle|triangle|circle|circle|triangle|triangle|triangle|circle|circle|triangle,"['shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny']",0,,
2,2,11,yellow,"[2, 11]",2,0.0,1,2,1,circle,['not_shiny'],0,,
4,12,7,yellow,"[12, 5, 1, 9, 3, 11, 2, 0, 10, 8, 14, 7]",12,0.0,6,12,11,triangle|circle|triangle|circle|circle|circle|triangle|triangle|circle|triangle|circle,"['not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
0,14,9,yellow,"[14, 7, 5, 1, 3, 11, 2, 0, 14, 9]",10,0.0,6,9,9,circle|triangle|circle|circle|circle|circle|triangle|triangle|triangle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny']",0,,
1,7,12,red,"[7, 12]",2,0.0,1,2,1,triangle,['not_shiny'],0,,
2,4,3,yellow,"[4, 13, 5, 9, 3]",5,0.0,4,5,4,circle|triangle|triangle|circle,"['shiny', 'not_shiny', 'shiny', 'shiny']",0,,
3,7,8,yellow,"[7, 5, 13, 4, 9, 3, 11, 2, 12, 7, 14, 0, 8]",13,0.0,7,12,12,triangle|circle|triangle|triangle|circle|circle|circle|triangle|circle|triangle|triangle|circle,"['not_shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny']",0,,
4,1,11,red,"[1, 3, 4, 14, 8, 10, 0, 2, 12, 7, 5, 11]",12,0.0010328292846679688,7,12,11,circle|triangle|triangle|circle|triangle|triangle|circle|triangle|circle|triangle|circle,"['shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny']",0,,
0,2,4,red,"[2, 0, 8, 6, 3, 12, 2, 11, 5, 1, 9, 14, 4]",13,0.0,8,12,12,triangle|circle|circle|circle|triangle|circle|circle|triangle|circle|triangle|triangle|triangle,"['shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
2,2,0,yellow,"[2, 11, 5, 9, 1, 3, 6, 8, 14, 7, 12, 2, 0]",13,0.0,6,12,12,circle|triangle|triangle|circle|circle|circle|circle|triangle|circle|triangle|circle|triangle,"['not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny']",0,,
0,12,4,yellow,"[12, 5, 1, 9, 3, 11, 2, 12, 7, 14, 8, 0, 10, 4]",14,0.0,6,13,13,triangle|circle|triangle|circle|circle|circle|triangle|circle|triangle|circle|triangle|triangle|triangle,"['not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny']",0,,
1,9,4,red,"[9, 4]",2,0.0,1,2,1,triangle,['shiny'],0,,
2,3,10,red,"[3, 6, 0, 8, 14, 12, 2, 11, 5, 13, 4, 10]",12,0.0,8,12,11,circle|triangle|circle|triangle|triangle|circle|circle|triangle|circle|triangle|triangle,"['shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny']",0,,
4,4,5,red,"[4, 14, 0, 10, 8, 6, 3, 12, 2, 11, 5]",11,0.0,8,11,10,triangle|triangle|triangle|circle|circle|circle|triangle|circle|circle|triangle,"['not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny']",0,,
0,3,4,red,"[3, 6, 8, 14, 4]",5,0.0,4,5,4,circle|circle|triangle|triangle,"['shiny', 'shiny', 'not_shiny', 'shiny']",0,,
1,1,0,red,"[1, 9, 4, 14, 12, 2, 0]",7,0.0,5,7,6,triangle|triangle|triangle|triangle|circle|triangle,"['shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny']",0,,
2,1,3,red,"[1, 5, 12, 2, 0, 10, 8, 14, 4, 9, 1, 3]",12,0.0,7,11,11,triangle|triangle|circle|triangle|triangle|circle|triangle|triangle|triangle|circle|circle,"['not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny']",0,,
3,8,2,yellow,"[8, 6, 3, 1, 9, 5, 11, 2]",8,0.0,5,8,7,circle|circle|circle|triangle|triangle|circle|circle,"['shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny']",0,,
1,7,14,yellow,"[7, 5, 7, 14]",4,0.0,3,3,3,triangle|circle|triangle,"['not_shiny', 'shiny', 'not_shiny']",0,,
2,3,13,yellow,"[3, 1, 5, 13]",4,0.0,4,4,3,circle|triangle|circle,"['not_shiny', 'not_shiny', 'shiny']",0,,
3,11,14,yellow,"[11, 5, 7, 14]",4,0.0,3,4,3,triangle|circle|triangle,"['not_shiny', 'shiny', 'not_shiny']",0,,
4,0,2,yellow,"[0, 3, 9, 1, 5, 7, 12, 14, 8, 0, 11, 2]",12,0.0,6,11,11,circle|triangle|circle|triangle|circle|triangle|triangle|circle|triangle|circle|circle,"['shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny']",0,,
0,12,4,yellow,"[12, 7, 5, 1, 9, 3, 11, 2, 0, 6, 8, 14, 4]",13,0.0,6,13,12,circle|triangle|circle|triangle|circle|circle|circle|triangle|circle|circle|triangle|triangle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny']",0,,
1,11,1,yellow,"[11, 3, 11, 5, 13, 4, 9, 1]",8,0.0,7,7,7,circle|circle|triangle|circle|triangle|triangle|circle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny']",0,,
2,0,5,red,"[0, 8, 10, 4, 14, 0, 2, 12, 7, 5]",10,0.0,8,9,9,circle|triangle|triangle|triangle|triangle|circle|triangle|circle|triangle,"['shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
0,10,0,yellow,"[10, 4, 13, 5, 1, 9, 3, 11, 2, 12, 7, 14, 0]",13,0.0,7,13,12,triangle|circle|triangle|circle|triangle|circle|circle|circle|triangle|circle|triangle|triangle,"['shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
1,6,13,yellow,"[6, 3, 1, 9, 5, 13]",6,0.0,5,6,5,circle|circle|triangle|triangle|circle,"['shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
2,4,11,yellow,"[4, 3, 11]",3,0.0,2,3,2,circle|circle,"['shiny', 'not_shiny']",0,,
3,6,4,red,"[6, 0, 14, 12, 2, 11, 3, 6, 8, 10, 4]",11,0.0,9,10,10,triangle|triangle|triangle|circle|circle|circle|circle|circle|triangle|triangle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny']",0,,
4,10,12,red,"[10, 8, 0, 2, 12]",5,0.0,5,5,4,circle|triangle|circle|triangle,"['shiny', 'shiny', 'shiny', 'not_shiny']",0,,
2,1,2,red,"[1, 9, 14, 8, 0, 6, 3, 12, 2]",9,0.0,6,9,8,triangle|triangle|circle|triangle|circle|circle|triangle|circle,"['shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny']",0,,
3,7,5,yellow,"[7, 5]",2,0.0,2,2,1,triangle,['not_shiny'],0,,
0,10,1,yellow,"[10, 8, 10, 4, 3, 1]",6,0.0,2,5,5,circle|triangle|triangle|circle|circle,"['shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny']",0,,
2,7,1,red,"[7, 12, 2, 0, 14, 8, 10, 4, 9, 5, 1]",11,0.0,7,11,10,triangle|circle|triangle|triangle|circle|triangle|triangle|triangle|triangle|circle,"['not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny']",0,,
0,12,5,red,"[12, 2, 0, 6, 8, 10, 4, 14, 12, 7, 5]",11,0.0,9,10,10,circle|triangle|circle|circle|triangle|triangle|triangle|triangle|circle|triangle,"['shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
2,2,4,red,"[2, 0, 10, 4]",4,0.0,4,4,3,triangle|triangle|triangle,"['shiny', 'not_shiny', 'shiny']",0,,
3,11,1,yellow,"[11, 5, 9, 1]",4,0.0,4,4,3,triangle|triangle|circle,"['not_shiny', 'shiny', 'not_shiny']",0,,
4,7,8,red,"[7, 12, 14, 4, 10, 0, 6, 8]",8,0.0,7,8,7,triangle|triangle|triangle|triangle|triangle|circle|circle,"['not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny']",0,,
2,13,10,red,"[13, 4, 14, 0, 10]",5,0.0,4,5,4,triangle|triangle|triangle|triangle,"['shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
4,1,6,red,"[1, 9, 14, 4, 10, 8, 0, 6]",8,0.0,6,8,7,triangle|triangle|triangle|triangle|circle|triangle|circle,"['shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny']",0,,
0,5,13,yellow,"[5, 1, 5, 11, 3, 9, 4, 13]",8,0.0,7,7,7,circle|triangle|circle|circle|triangle|triangle|circle,"['not_shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'shiny']",0,,
2,13,8,red,"[13, 4, 10, 0, 8]",5,0.0,4,5,4,triangle|triangle|triangle|circle,"['shiny', 'not_shiny', 'shiny', 'shiny']",0,,
3,11,12,yellow,"[11, 5, 9, 1, 3, 11, 2, 0, 8, 14, 7, 12]",12,0.0005409717559814453,7,11,11,triangle|triangle|circle|circle|circle|circle|triangle|circle|triangle|circle|triangle,"['not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
4,11,8,red,"[11, 2, 12, 14, 4, 10, 8]",7,0.0,6,7,6,circle|triangle|triangle|triangle|triangle|circle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
0,4,11,yellow,"[4, 13, 5, 1, 3, 9, 4, 10, 8, 6, 0, 11]",12,0.0,6,11,11,circle|triangle|circle|circle|triangle|triangle|triangle|circle|circle|triangle|circle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny']",0,,
1,9,7,yellow,"[9, 3, 1, 5, 11, 2, 0, 10, 8, 14, 7]",11,0.0,6,11,10,circle|circle|triangle|circle|circle|triangle|triangle|circle|triangle|circle,"['shiny', 'not_shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
2,3,6,red,"[3, 0, 6]",3,0.0007548332214355469,2,3,2,triangle|circle,"['shiny', 'shiny']",0,,
4,8,11,red,"[8, 10, 0, 14, 12, 2, 11]",7,0.0,6,7,6,triangle|triangle|triangle|triangle|circle|circle,"['not_shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
0,0,7,red,"[0, 8, 14, 12, 2, 0, 10, 4, 9, 1, 5, 7]",12,0.0005457401275634766,8,11,11,circle|triangle|triangle|circle|triangle|triangle|triangle|triangle|circle|triangle|circle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny']",0,,
1,12,9,yellow,"[12, 7, 5, 1, 9]",5,0.0,4,5,4,circle|triangle|circle|triangle,"['shiny', 'not_shiny', 'not_shiny', 'shiny']",0,,
3,3,5,red,"[3, 0, 14, 12, 2, 11, 5]",7,0.0,4,7,6,triangle|triangle|triangle|circle|circle|triangle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny']",0,,
4,5,11,red,"[5, 12, 2, 0, 10, 4, 14, 8, 6, 3, 11]",11,0.0,8,11,10,triangle|circle|triangle|triangle|triangle|triangle|circle|circle|circle|circle,"['not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny']",0,,
1,10,14,yellow,"[10, 8, 10, 0, 11, 3, 9, 5, 13, 4, 14]",11,0.0,5,10,10,circle|triangle|triangle|circle|circle|triangle|triangle|circle|triangle|triangle,"['shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny']",0,,
2,9,0,yellow,"[9, 5, 1, 9, 3, 11, 0]",7,0.0,6,6,6,triangle|circle|triangle|circle|circle|triangle,"['not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny']",0,,
3,0,5,yellow,"[0, 3, 11, 5]",4,0.0,3,4,3,circle|circle|triangle,"['shiny', 'not_shiny', 'not_shiny']",0,,
3,8,10,yellow,"[8, 10]",2,0.0,0,2,1,triangle,['not_shiny'],0,,
4,4,11,red,"[4, 14, 0, 6, 8, 10, 4, 3, 12, 2, 11]",11,0.0,9,10,10,triangle|triangle|circle|circle|triangle|triangle|circle|triangle|circle|circle,"['not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
1,5,4,red,"[5, 12, 14, 4]",4,0.0,3,4,3,triangle|triangle|triangle,"['not_shiny', 'not_shiny', 'shiny']",0,,
3,2,1,yellow,"[2, 11, 3, 9, 1]",5,0.0,4,5,4,circle|circle|triangle|circle,"['not_shiny', 'shiny', 'shiny', 'not_shiny']",0,,
4,9,6,red,"[9, 4, 10, 0, 14, 8, 6]",7,0.0,6,7,6,triangle|triangle|triangle|triangle|circle|circle,"['shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny']",0,,
1,5,10,yellow,"[5, 11, 5, 13, 4, 3, 1, 9, 14, 7, 12, 2, 0, 10]",14,0.0,8,13,13,circle|triangle|circle|triangle|circle|circle|triangle|triangle|circle|triangle|circle|triangle|triangle,"['not_shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny']",0,,
2,13,8,red,"[13, 4, 10, 0, 8]",5,0.0,4,5,4,triangle|triangle|triangle|circle,"['shiny', 'not_shiny', 'shiny', 'shiny']",0,,
3,7,14,red,"[7, 14]",2,0.0,1,2,1,triangle,['not_shiny'],0,,
4,1,14,red,"[1, 5, 12, 2, 0, 6, 8, 14]",8,0.0,6,8,7,triangle|triangle|circle|triangle|circle|circle|triangle,"['not_shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'not_shiny']",0,,
0,3,6,red,"[3, 6]",2,0.0,1,2,1,circle,['shiny'],0,,
1,3,0,yellow,"[3, 1, 9, 5, 7, 12, 3, 11, 2, 0]",10,0.0007965564727783203,7,9,9,circle|triangle|triangle|circle|triangle|circle|circle|circle|triangle,"['not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny']",0,,
2,12,11,yellow,"[12, 5, 13, 4, 3, 1, 9, 14, 7, 12, 2, 11]",12,0.0,7,11,11,triangle|circle|triangle|circle|circle|triangle|triangle|circle|triangle|circle|circle,"['not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
3,3,4,red,"[3, 0, 6, 8, 14, 4]",6,0.0,5,6,5,triangle|circle|circle|triangle|triangle,"['shiny', 'shiny', 'shiny', 'not_shiny', 'shiny']",0,,
1,8,5,red,"[8, 0, 10, 8, 6, 3, 12, 14, 4, 13, 5]",11,0.000583648681640625,8,10,10,triangle|triangle|circle|circle|circle|triangle|triangle|triangle|circle|triangle,"['shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny']",0,,
2,5,3,red,"[5, 12, 2, 0, 10, 8, 6, 3]",8,0.0,6,8,7,triangle|circle|triangle|triangle|circle|circle|circle,"['not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny']",0,,
4,5,14,yellow,"[5, 13, 5, 11, 3, 1, 9, 14]",8,0.0,7,7,7,circle|triangle|circle|circle|circle|triangle|triangle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
0,5,13,red,"[5, 12, 14, 0, 8, 10, 4, 13]",8,0.0005118846893310547,6,8,7,triangle|triangle|triangle|circle|triangle|triangle|circle,"['not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny']",0,,
1,7,14,yellow,"[7, 5, 7, 14]",4,0.0,3,3,3,triangle|circle|triangle,"['not_shiny', 'shiny', 'not_shiny']",0,,
2,11,7,yellow,"[11, 5, 1, 9, 3, 11, 0, 14, 7]",9,0.0,7,8,8,triangle|circle|triangle|circle|circle|triangle|triangle|circle,"['not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
