,Seed,Linkage Method,Distance Metric,Number of Clusters,Color Distribution Summary
39,9,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red': 10, 'red green green green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 2}, 2: {'green green': 1, 'green green green': 3, 'green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
40,10,single,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 4, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 1, 'green green green green green': 6, 'green green green green green green': 3, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 4, 'red red red': 0, 'red red red red': 0}}"
41,10,complete,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 4, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 1, 'green green green green green': 6, 'green green green green green green': 3, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 4, 'red red red': 0, 'red red red red': 0}}"
42,10,average,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 4, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 1, 'green green green green green': 6, 'green green green green green green': 3, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 4, 'red red red': 0, 'red red red red': 0}}"
43,10,ward,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 4, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 1, 'green green green green green': 6, 'green green green green green green': 3, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 4, 'red red red': 0, 'red red red red': 0}}"
44,11,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'red green green green': 0, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 1, 'red red red red red': 5}, 2: {'green green': 2, 'green green green': 1, 'green green green green': 1, 'red green green green': 2, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
45,11,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green green green green': 1, 'red green green green': 2, 'red green green green green': 5, 'red red': 1, 'red red red': 1, 'red red red red': 1, 'red red red red red': 5}}"
46,11,average,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green green green green': 1, 'red green green green': 2, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'red green green green': 0, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 1, 'red red red red red': 5}}"
47,11,ward,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green green green green': 1, 'red green green green': 2, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'red green green green': 0, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 1, 'red red red red red': 5}}"
48,12,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 5, 'red green green green green green green': 0}, 2: {'green green': 5, 'green green green': 1, 'green green green green': 4, 'green green green green green': 4, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1}}"
49,12,complete,Jaccard,2,"{1: {'green green': 5, 'green green green': 1, 'green green green green': 4, 'green green green green green': 4, 'green green green green green green': 2, 'green red red red red': 5, 'red green green green green green green': 1}}"
50,12,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 5, 'red green green green green green green': 0}, 2: {'green green': 5, 'green green green': 1, 'green green green green': 4, 'green green green green green': 4, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1}}"
51,12,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 5, 'red green green green green green green': 0}, 2: {'green green': 5, 'green green green': 1, 'green green green green': 4, 'green green green green green': 4, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1}}"
52,13,single,Jaccard,2,"{1: {'green green': 0, 'green red red red red red red': 2, 'red green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red red': 2}, 2: {'green green': 1, 'green red red red red red red': 0, 'red green green green green': 10, 'red red': 0, 'red red red': 0, 'red red red red red': 0}}"
53,13,complete,Jaccard,2,"{1: {'green green': 1, 'green red red red red red red': 0, 'red green green green green': 10, 'red red': 0, 'red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green red red red red red red': 2, 'red green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red red': 2}}"
54,13,average,Jaccard,2,"{1: {'green green': 0, 'green red red red red red red': 2, 'red green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red red': 2}, 2: {'green green': 1, 'green red red red red red red': 0, 'red green green green green': 10, 'red red': 0, 'red red red': 0, 'red red red red red': 0}}"
55,13,ward,Jaccard,2,"{1: {'green green': 1, 'green red red red red red red': 0, 'red green green green green': 10, 'red red': 0, 'red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green red red red red red red': 2, 'red green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red red': 2}}"
56,14,single,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 7, 'red green green green green green green': 0, 'red red': 1, 'red red red': 1}, 2: {'green green': 1, 'green green green green green': 1, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 4, 'red red': 0, 'red red red': 0}}"
57,14,complete,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 7, 'red green green green green green green': 0, 'red red': 1, 'red red red': 1}, 2: {'green green': 1, 'green green green green green': 1, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 4, 'red red': 0, 'red red red': 0}}"
58,14,average,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 7, 'red green green green green green green': 0, 'red red': 1, 'red red red': 1}, 2: {'green green': 1, 'green green green green green': 1, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 4, 'red red': 0, 'red red red': 0}}"
59,14,ward,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 7, 'red green green green green green green': 0, 'red red': 1, 'red red red': 1}, 2: {'green green': 1, 'green green green green green': 1, 'green green green green green green': 1, 'green red red red red': 0, 'red green green green green green green': 4, 'red red': 0, 'red red red': 0}}"
60,15,single,Jaccard,2,"{1: {'green green green': 0, 'green green green green': 0, 'green red red red red': 7, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red red': 1}, 2: {'green green green': 2, 'green green green green': 3, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 2, 'red red red': 0}}"
61,15,complete,Jaccard,2,"{1: {'green green green': 0, 'green green green green': 0, 'green red red red red': 7, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red red': 1}, 2: {'green green green': 2, 'green green green green': 3, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 2, 'red red red': 0}}"
62,15,average,Jaccard,2,"{1: {'green green green': 0, 'green green green green': 0, 'green red red red red': 7, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red red': 1}, 2: {'green green green': 2, 'green green green green': 3, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 2, 'red red red': 0}}"
63,15,ward,Jaccard,2,"{1: {'green green green': 0, 'green green green green': 0, 'green red red red red': 7, 'red green green green green green': 0, 'red green green green green green green': 0, 'red red red': 1}, 2: {'green green green': 2, 'green green green green': 3, 'green red red red red': 0, 'red green green green green green': 1, 'red green green green green green green': 2, 'red red red': 0}}"
64,16,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 15}, 2: {'green green': 2, 'green green green': 2, 'green green green green': 4, 'green green green green green': 2, 'green green green green green green': 2, 'green green green green green green green': 1, 'green green green green green green green green': 3, 'green red red': 0}}"
65,16,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 2, 'green green green green': 4, 'green green green green green': 2, 'green green green green green green': 2, 'green green green green green green green': 1, 'green green green green green green green green': 3, 'green red red': 15}}"
66,16,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 15}, 2: {'green green': 2, 'green green green': 2, 'green green green green': 4, 'green green green green green': 2, 'green green green green green green': 2, 'green green green green green green green': 1, 'green green green green green green green green': 3, 'green red red': 0}}"
67,16,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green green green green green green green green': 0, 'green red red': 15}, 2: {'green green': 2, 'green green green': 2, 'green green green green': 4, 'green green green green green': 2, 'green green green green green green': 2, 'green green green green green green green': 1, 'green green green green green green green green': 3, 'green red red': 0}}"
68,17,single,Jaccard,2,"{1: {'green green': 2, 'green green green green': 4, 'green red red red red red': 0, 'red green green green green green': 5, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green green': 0, 'green red red red red red': 4, 'red green green green green green': 0, 'red red': 2, 'red red red red': 1, 'red red red red red': 1}}"
69,17,complete,Jaccard,2,"{1: {'green green': 2, 'green green green green': 4, 'green red red red red red': 4, 'red green green green green green': 5, 'red red': 2, 'red red red red': 1, 'red red red red red': 1}}"
70,17,average,Jaccard,2,"{1: {'green green': 0, 'green green green green': 0, 'green red red red red red': 4, 'red green green green green green': 0, 'red red': 2, 'red red red red': 1, 'red red red red red': 1}, 2: {'green green': 2, 'green green green green': 4, 'green red red red red red': 0, 'red green green green green green': 5, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
71,17,ward,Jaccard,2,"{1: {'green green': 2, 'green green green green': 4, 'green red red red red red': 0, 'red green green green green green': 5, 'red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green green': 0, 'green red red red red red': 4, 'red green green green green green': 0, 'red red': 2, 'red red red red': 1, 'red red red red red': 1}}"
72,18,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 6, 'red green green green green green': 0, 'red red red': 4, 'red red red red': 1, 'red red red red red': 2}, 2: {'green green': 1, 'green green green': 1, 'green green green green': 4, 'green red red red red red': 0, 'red green green green green green': 4, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
73,18,complete,Jaccard,2,"{1: {'green green': 1, 'green green green': 1, 'green green green green': 4, 'green red red red red red': 0, 'red green green green green green': 4, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 6, 'red green green green green green': 0, 'red red red': 4, 'red red red red': 1, 'red red red red red': 2}}"
74,18,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 6, 'red green green green green green': 0, 'red red red': 4, 'red red red red': 1, 'red red red red red': 2}, 2: {'green green': 1, 'green green green': 1, 'green green green green': 4, 'green red red red red red': 0, 'red green green green green green': 4, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
75,18,ward,Jaccard,2,"{1: {'green green': 1, 'green green green': 1, 'green green green green': 4, 'green red red red red red': 0, 'red green green green green green': 4, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 6, 'red green green green green green': 0, 'red red red': 4, 'red red red red': 1, 'red red red red red': 2}}"
76,19,single,Jaccard,2,"{1: {'green green': 1, 'green green green': 2, 'green green green green': 1, 'green red red red red red red': 0, 'red green green green green': 6, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red red': 2, 'red green green green green': 0, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 4, 'red red red red red red': 4}}"
77,19,complete,Jaccard,2,"{1: {'green green': 1, 'green green green': 2, 'green green green green': 1, 'green red red red red red red': 2, 'red green green green green': 6, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 4, 'red red red red red red': 4}}"
